Bellman temps,Bellman nodes évalués,Bell taille max du tas,Dijkstra temps,Dijkstra nodes évalués,Dijkstra taille max du tas,Astar temps,Astar nodes évalués,Astar taille max du tas
19881,0,0,193,17016,371,106,12589,273
10348,0,0,1322,99579,1045,147,19766,328
10962,0,0,222,45347,383,199,28451,384
16993,0,0,1078,127040,576,1242,109486,661
17308,0,0,24,2726,275,8,1285,181
16985,0,0,1029,124388,630,1043,106425,630
16740,0,0,1256,104460,802,1090,80912,831
22835,0,0,516,44103,494,467,35548,719
16521,0,0,569,57318,478,692,45840,632
15505,0,0,1378,133816,873,1427,120991,793
11829,0,0,25,11846,189,30,10791,159
14877,0,0,114,10900,336,75,6394,396
14668,0,0,563,37693,618,593,30470,738
15466,0,0,322,22685,446,211,14727,467
15657,0,0,19,7371,188,8,2823,100
14986,0,0,869,80878,564,682,60527,542
16753,0,0,596,36962,491,565,30268,760
18991,0,0,419,37288,508,275,25202,442
10449,0,0,1315,107413,1077,181,30848,413
11913,0,0,1273,103964,1001,1066,61301,901
13604,0,0,142,21258,471,33,7922,205
11072,0,0,992,102444,904,350,44964,732
15475,0,0,0,109,30,0,61,23
13130,0,0,18,2933,240,10,1733,160
18415,0,0,424,35839,520,265,24243,430
16309,0,0,596,47721,505,581,44085,634
9263,0,0,613,57777,962,299,19639,922
17177,0,0,1248,94919,805,1002,81995,814
13745,0,0,1186,110454,871,1098,70863,1002
15219,0,0,1333,124180,864,1404,105891,823
10625,0,0,134,34044,454,79,13572,407
7486,0,0,1334,97710,1051,1171,59008,998
15675,0,0,47,17977,217,40,13006,237
16506,0,0,1113,109863,753,1126,89481,773
15072,0,0,946,78059,853,899,54260,952
21539,0,0,977,132724,535,1215,108016,781
16790,0,0,487,33357,508,448,26056,637
14835,0,0,206,16517,648,522,33257,543
10628,0,0,159,40879,509,92,22544,379
10452,0,0,114,34089,427,51,17906,276
10134,0,0,235,37427,473,124,19436,272
17198,0,0,975,127825,560,1205,107884,733
14343,0,0,1324,124849,697,1216,94291,966
10738,0,0,781,87640,932,436,42508,876
16164,0,0,952,112562,580,933,84249,655
15109,0,0,935,94099,628,782,70057,613
14915,0,0,1075,124674,593,1033,105571,659
15696,0,0,61,6026,321,28,3571,277
9616,0,0,447,62535,669,204,26991,477
