Bellman temps,Bellman nodes évalués,Bell taille max du tas,Dijkstra temps,Dijkstra nodes évalués,Dijkstra taille max du tas,Astar temps,Astar nodes évalués,Astar taille max du tas
11426,0,0,557,92051,319,532,52492,661
8730,0,0,160,36669,328,80,16985,193
9199,0,0,7,4171,114,6,2373,102
10142,0,0,254,47907,254,152,26075,359
8791,0,0,69,22990,224,47,8918,267
9041,0,0,217,30347,280,101,12391,522
8006,0,0,14,5965,75,16,3921,143
9367,0,0,436,94675,316,374,52816,490
8488,0,0,593,132094,489,82,24164,359
8914,0,0,51,9241,180,3,1065,121
6682,0,0,157,66367,233,31,9346,211
8729,0,0,185,67663,298,149,30796,491
8806,0,0,256,39254,286,63,10480,293
8414,0,0,184,62264,316,78,21977,331
9766,0,0,269,57917,280,223,44708,264
7196,0,0,72,34043,208,27,8963,239
8401,0,0,11,5262,131,1,514,37
8234,0,0,205,68696,340,81,22725,432
6770,0,0,26,10879,189,2,912,102
12428,0,0,535,115489,400,85,26101,290
10901,0,0,322,72612,373,426,56372,644
8489,0,0,573,124403,404,491,77829,477
11167,0,0,351,62142,493,80,14133,502
14030,0,0,551,132272,423,216,44591,549
9824,0,0,376,89001,346,286,53785,405
6790,0,0,44,18450,197,3,1472,125
7374,0,0,97,41835,221,24,8197,224
7297,0,0,313,74734,428,54,11464,439
9185,0,0,31,5658,205,4,1373,105
7943,0,0,512,101005,401,95,13882,556
9768,0,0,279,65407,271,352,44559,444
6854,0,0,520,113246,416,248,30696,773
7672,0,0,57,25733,207,17,5738,197
9060,0,0,422,80203,337,307,43378,466
7589,0,0,413,111463,347,171,35509,523
7163,0,0,314,101160,267,199,35939,500
7945,0,0,520,99837,413,21,7829,284
9090,0,0,128,14647,297,5,1766,184
5818,0,0,144,51917,284,5,2845,134
7471,0,0,566,125568,381,113,26834,444
7388,0,0,470,108587,348,222,31545,600
6589,0,0,184,62449,302,18,6692,168
8568,0,0,253,55017,281,186,36659,268
8391,0,0,10,7090,124,6,2517,97
8412,0,0,396,91647,367,92,17904,329
9387,0,0,96,19585,237,15,4579,149
11973,0,0,333,54965,518,23,8995,181
7622,0,0,41,8136,172,10,2728,136
8940,0,0,370,75963,349,268,51407,386
9884,0,0,450,115830,345,478,73382,464
6338,0,0,115,48663,263,19,7884,233
8949,0,0,359,78127,431,103,25085,392
9069,0,0,195,26782,256,24,4634,386
9478,0,0,452,93474,349,275,53543,361
11201,0,0,88,27086,241,25,7051,206
