Bellman temps,Bellman nodes évalués,Bell taille max du tas,Dijkstra temps,Dijkstra nodes évalués,Dijkstra taille max du tas,Astar temps,Astar nodes évalués,Astar taille max du tas
1301,0,0,46,5675,195,12,1265,127
984,0,0,161,30306,289,75,9485,345
1104,0,0,17,5336,135,5,1023,97
629,0,0,93,16344,307,14,2533,226
767,0,0,54,13125,238,13,3622,181
950,0,0,137,32303,252,37,6927,379
730,0,0,128,28917,279,55,8987,439
1013,0,0,130,31125,251,53,9906,380
814,0,0,44,12600,222,3,1268,188
626,0,0,61,12715,300,5,1326,155
